Name,DXO,CPU ,GPU,MEM,UX,Total,Price
Xiaomi Redmi K20 Pro,102,140217,183068,60120,68349,451761,400
Xiaomi Mi 9,110,136311,180695,63725,64828,445567,445
Honor 20 pro,113,127930,125978,74776,62718,391410,500
Samsung Galaxy S10,116,121378,166060,59383,64365,411193,590
OnePlus 7T Pro,114,144011,197877,78107,74703,494705,600
OnePlus 7 Pro,113,142000,178641,78724,74619,473991,670
Apple iPhone 11,109,155235,211480,75370,82044,524137,700
Huawei p30,116,129216,131850,67960,65166,394199,750
LG G7 ThinQ,85,97120,103076,44170,53175,297546,760
Apple iPhone 11 Pro,115,167055,213503,83000,83365,546930,1000
Samsung Galaxy Note 10+ 5G,117,128071,171608,89136,65118,453939,1100
Apple iPhone 11 Pro Max,118,166509,215130,82035,83267,546948,1200
