Phone,CPU,GPU,MEM,UX,Total
1ROG Phone 2 (12+512) ,145035,192077,90285,79882,507284
2OnePlus 7T (8+256) ,144011,197877,78107,74703,494705
3realme X2 Pro (12+256) ,141678,188462,79065,73267,482480
4OnePlus 7 Pro (8+256) ,142000,178641,78724,74619,473991
5OnePlus 7 (8+256) ,142029,178906,78517,69061,468519
6Samsung Note10+ (9825) (12+256) ,128071,171608,89136,65118,453939
7Redmi K20 Pro (6+128) ,140217,183068,60120,68349,451761
8Samsung Note10 (9825) (8+256) ,127286,169687,86508,64554,448043
9Mi 9 (6+128) ,136311,180695,63725,64828,445567
10Mi 9T Pro (8+256) ,136709,173011,67300,65915,442943
11Samsung S10+ (9820) (8+128) ,123482,167084,59393,64591,414557
12Samsung S10 (9820) (8+128) ,121378,166060,59383,64365,411193
13Samsung S10e (9820) (6+128) ,120910,165068,59743,63550,409277
14Lenovo Z5 Pro GT (8+256) ,125999,151372,59130,64292,400799
15HUAWEI P30 Pro (8+256) ,130320,132648,71185,65051,399211
16HUAWEI P30 (6+128) ,129216,131850,67960,65166,394199
17HONOR 20 Pro (8+256) ,127930,125978,74776,62718,391410
18HUAWEI nova 5T (8+128) ,129252,127977,66892,63675,387803
19HONOR 20 (6+128) ,129410,126749,66476,63387,386030
20HUAWEI Mate 20 Pro (6+128) ,128810,126911,65108,64465,385302
21Mi POCOPHONE F1 (6+64) ,105025,142194,49166,59359,355750
22Mi 8 (6+128) ,104702,140241,51430,57503,353884
23Mi MIX 2S (6+64) ,103911,141110,48556,57996,351581
24Samsung S9+ (9810) (6+64) ,104657,119368,47886,48812,320731
25Samsung Note 9 (9810) (6+128) ,103510,118951,49001,48797,320265
26LG G7 ThinQ (4+64) ,97120,103076,44170,53175,297546
27Redmi Note 8 Pro (6+128) ,96871,79797,61632,53427,291733
28Samsung S9 (9810) (4+64) ,104573,85607,47450,46812,284449
29Samsung A71 (8+128) ,92835,70963,50474,51258,265537
30Mi 9T (6+128) ,98157,65193,49803,51637,264797
31Mi Note 10 (6+128) ,94740,70388,50918,48524,264576
32HUAWEI P20 Pro (6+128) ,79227,83035,55865,44006,262139
33Samsung Note 8 (8895) (6+64) ,77682,94972,44396,42218,259278
34Samsung S8 (8895) (4+64) ,78057,71119,43504,39219,231907
35Samsung S8+ (8895) (4+64) ,77059,71159,42787,39358,230369
36realme XT (8+128) ,77003,61954,44513,45357,228834
37HONOR Play (4+64) ,77276,54912,53547,40286,226029
38realme Q (8+128) ,75271,61124,42307,44862,223570
39HONOR 10 (4+64) ,75043,54829,52842,39424,222145
40Mi 9 Lite (6+128) ,71438,54452,47341,42449,215686
41Vsmart Live (6+64) ,89222,33656,43804,47333,214023
42realme X Lite (4+64) ,76375,54659,38449,43498,212986
43Samsung A70 (6+128) ,87963,33501,44265,44825,210563
44Samsung S7(8890) (4+32) ,67254,45344,37582,38965,189150
45Samsung A51 (6+128) ,58769,47673,42775,37624,186846
46Samsung S7 Edge (8890) (4+32) ,66347,44542,35556,38263,184713
47Mi 8 Lite (4+64) ,75752,35978,33739,34555,180028
48Redmi Note 7 (4+128) ,73451,35666,36234,33853,179213
49Mi A3 (4+64) ,71201,31908,41494,32499,177109
50Samsung A50 (6+128) ,59878,43051,37677,35239,175851
51Redmi Note 8T (4+64) ,71063,31852,36892,33978,173792
52Redmi Note 8 (4+64) ,71021,32082,36669,33810,173592
53HONOR 9X Global (4+128) ,68870,22622,44769,35859,172127
54HUAWEI Mate 20 Lite (4+64) ,72420,24447,37164,37331,171368
55HONOR 8X (4+64) ,73302,23304,37280,37239,171131
56Mi A2 (4+64) ,65554,35711,30466,35449,167189
57HUAWEI P Smart Z (4+64) ,69039,23309,36603,36447,165404
58HONOR 10i (4+128) ,67500,23184,37360,36138,164190
59HUAWEI P30 Lite (4+128) ,66765,23392,36630,36226,163019
60OPPO A5 2020 (3+64) ,69109,25169,31718,30908,156910
61Redmi Note 5 AI Dual Camera (4+64) ,65389,24652,30424,29351,149823
62Redmi Note 6 Pro (4+64) ,62727,24575,32118,28578,148005
63Samsung A7 2018 (4+64) ,54229,25080,30183,35321,144819
64Samsung A8 2018 (4+32) ,53766,24775,29088,35216,142851
65Redmi 7 (3+32) ,60850,10471,26248,23356,120931
66HUAWEI P20 Lite (4+64) ,46391,10721,29907,24944,111971
67Samsung A5 2017 (3+32) ,39171,19342,23126,21447,103094
68Redmi Note 4 (4+64) ,43348,12145,27696,19179,102376
69Redmi 8 (4+64) ,41545,10525,31681,15643,99402
70Redmi 5 Plus (4+64) ,42314,11281,27261,17543,98407
71Redmi 4X (3+32) ,30651,8025,22672,9848,71204
