Phone,CPU,GPU,MEM,UX,Total
1iPad Pro 3 (12.9-inch) (4+256) ,184767,367752,92318,76952,721796
2iPad Pro 3 (11-inch) (4+256) ,184553,357335,90598,76845,709337
3iPhone 11 Pro Max (4+512) ,166509,215130,82035,83267,546948
4iPhone 11 Pro (4+512) ,167055,213503,83000,83365,546930
5iPhone 11 (4+256) ,155235,211480,75370,82044,524137
6iPad Air 3 (3+256) ,147951,204946,73354,72769,499028
7iPad mini 5 (3+256) ,144705,190313,71959,72678,479662
8iPhone XS (4+512) ,137865,169495,77919,72078,457363
9iPhone XS Max (4+512) ,134123,166578,77197,71452,449356
10iPhone XR (3+256) ,126221,161858,70490,70207,428782
11iPad Pro 2 (10.5-inch) (5+256) ,120575,151607,49500,56720,378407
12iPhone X (3+256) ,100833,97775,63817,53659,316091
13iPhone 8 Plus (3+256) ,100556,98126,62184,53976,314851
14iPhone 8 (2+256) ,106202,60734,64215,53816,284973
15iPad 7 (3+128) ,93674,78479,42587,46990,261738
16iPhone 7 Plus (3+256) ,82202,75312,45980,44083,247582
17iPad 6 (2+128) ,95632,55697,44001,49086,244422
18iPhone 7 (2+256) ,87766,56246,49174,45041,238235
19iPhone SE (2+128) ,71725,44415,35883,35309,187339
20iPhone 6s (2+128) ,70055,41457,35120,34729,181367
21iPhone 6s Plus (2+128) ,69411,41056,35372,34851,180696
22iPad Air 2 (2+128) ,63690,29808,32414,28833,154753
